simulation,calendar_year,calendar_week,thermal_generation_gwh,thermal_peak_block_mw
6,2026,41,64.68,385.0
6,2026,42,64.68,385.0
6,2026,43,64.68,385.0
6,2026,44,56.53663659606626,385.0
6,2026,45,21.482977808650844,260.14889043254215
6,2026,46,19.26036246921455,319.0
6,2026,47,26.79867584543838,281.733792271919
6,2026,48,43.72,365.0
6,2026,49,80.68,585.0
6,2026,50,80.68,585.0
6,2026,51,67.3540258339051,585.0
7,2025,52,0.0,0.0
7,2026,1,0.0,0.0
7,2026,2,0.0,0.0
7,2026,3,5.29734093546365,264.8670467731825
7,2026,4,15.891269155934218,385.0
7,2026,5,26.94445648789685,385.0
7,2026,6,30.8,385.0
7,2026,7,30.8,385.0
7,2026,8,47.17518265073658,579.6801743896676
7,2026,9,40.97864263132472,397.94096009263654
7,2026,10,50.06925771754288,431.1895371382019
7,2026,11,100.28,830.0
7,2026,12,100.28,830.0
7,2026,13,101.66471107687721,893.2355538438608
7,2026,14,101.82068832885089,1132.4180352853377
7,2026,15,138.0027436343573,1244.0
7,2026,16,96.46905793507227,1059.604140880945
7,2026,17,94.4030759478276,1065.3328048181238
7,2026,18,122.86024388548955,1382.0
7,2026,19,113.33534671675565,1313.0
7,2026,20,106.10461619490891,1106.4645250364208
7,2026,21,87.44453092404805,833.0
7,2026,22,128.00930895270318,1357.7354750061509
7,2026,23,104.15734191858243,833.0
7,2026,24,107.55695287725965,833.0
7,2026,25,100.03999999999999,827.0
7,2026,26,85.06456241288231,833.0
7,2026,27,87.38785134871152,920.392567435576
7,2026,28,106.38501010902883,975.9350865724502
7,2026,29,121.49346215143896,1001.6731075719485
7,2026,30,129.8401854292494,1147.8938879339648
7,2026,31,149.74673180779186,1323.4026786031918
7,2026,32,150.63999363412424,1367.799681706211
7,2026,33,143.45865019226028,1008.7325096130135
7,2026,34,120.84473212673691,969.2366063368466
7,2026,35,120.89523424932776,868.0308317428518
7,2026,36,120.54596467366076,954.2982336830391
7,2026,37,95.74483823762637,833.0
7,2026,38,89.18141732764185,828.8287836906355
7,2026,39,84.78843764278781,809.6718821393907
7,2026,40,111.67531636443346,833.0
7,2026,41,81.19622616614097,610.8113083070481
7,2026,42,101.44568904011496,743.2844520057483
7,2026,43,101.64639406196076,753.3197030980386
7,2026,44,108.01599999999999,790.0
7,2026,45,68.77558629255472,415.0
7,2026,46,40.47186803930156,319.0
7,2026,47,49.37562155975205,391.0
7,2026,48,67.38356604515594,613.0
7,2026,49,90.88921899061867,785.0
7,2026,50,95.15064862337613,833.0
7,2026,51,100.52000000000001,833.0
8,2025,52,0.0,0.0
8,2026,1,0.0,0.0
8,2026,2,2.684309148253289,134.21545741266445
8,2026,3,5.009314364554557,207.64923715601145
8,2026,4,0.12458588800337744,6.229294400168873
8,2026,5,0.0,0.0
8,2026,6,0.0,0.0
8,2026,7,0.0,0.0
8,2026,8,13.625675678431204,311.658862871193
8,2026,9,0.1693217074629062,8.46608537314531
8,2026,10,0.0,0.0
8,2026,11,8.756710261754518,248.5836810905849
8,2026,12,20.280590427948965,424.11953039146096
8,2026,13,30.8,385.0
8,2026,14,25.029879067713043,385.0
8,2026,15,56.965828681297765,385.0
8,2026,16,55.18100044003053,385.0
8,2026,17,67.43911001677617,522.955500838808
8,2026,18,95.51188897918723,861.3707981022601
8,2026,19,74.20135050523973,907.2086227583661
8,2026,20,69.07989858806758,604.9949294033781
8,2026,21,68.9062194153791,596.3109707689542
8,2026,22,66.44881008583695,473.4405042918471
8,2026,23,71.00042563878512,701.0212819392555
8,2026,24,69.89699449123384,645.849724561692
8,2026,25,73.96707202766981,849.3536013834905
8,2026,26,73.07551467051107,804.7757335255532
8,2026,27,82.29862109825314,1089.5771420204123
8,2026,28,81.54830024869852,1064.8406646788658
8,2026,29,78.59372986272925,1001.25627042683
8,2026,30,81.74902221248968,1166.2072956904785
8,2026,31,98.43307588083556,1279.1357179104762
8,2026,32,110.69681466382909,1341.8407331914539
8,2026,33,118.32126470512216,1114.4049448591395
8,2026,34,106.09014475396228,1111.5072376981147
8,2026,35,86.44528617132804,833.0
8,2026,36,86.96491047731729,899.2455238658648
8,2026,37,87.77789096470408,998.1447663082143
8,2026,38,104.78959116029597,833.0
8,2026,39,99.94397872416025,744.7236950202872
8,2026,40,101.48789876398183,745.394938199091
8,2026,41,101.22825311678696,732.4126558393478
8,2026,42,80.68,585.0
8,2026,43,80.68,585.0
8,2026,44,42.535920840635775,542.0
8,2026,45,33.02265870884958,415.0
8,2026,46,25.94617640261349,319.0
8,2026,47,24.34861958307343,257.8063078206193
8,2026,48,48.870883905059145,365.0
8,2026,49,100.52000000000001,833.0
8,2026,50,100.52000000000001,833.0
8,2026,51,80.68,585.0
9,2025,52,0.0,0.0
9,2026,1,0.0,0.0
9,2026,2,0.0,0.0
9,2026,3,11.39944933939242,314.6793757399852
9,2026,4,1.6560079882025853,82.80039941012926
9,2026,5,3.823889589482218,191.1944794741109
9,2026,6,1.4550731145797027,72.75365572898514
9,2026,7,0.4230183129160059,21.150915645800293
9,2026,8,33.43929867960443,494.7763741743984
9,2026,9,30.8,385.0
9,2026,10,30.8,385.0
9,2026,11,58.14417374995162,385.0
9,2026,12,32.09240370038476,449.6201850192377
9,2026,13,46.13378130000889,385.0
9,2026,14,36.44209296439895,385.0
9,2026,15,66.42543479593499,472.27173979674956
9,2026,16,71.3602917329867,719.0145866493345
9,2026,17,85.67623827835618,833.0
9,2026,18,105.38308058578758,1076.1540292893797
9,2026,19,112.55613634787056,1313.0
9,2026,20,78.09426903251034,888.4860238494639
9,2026,21,79.28195355364932,917.8360194736232
9,2026,22,69.30060585756257,616.0302928781286
9,2026,23,72.7347177382764,787.7358869138202
9,2026,24,68.68,585.0
9,2026,25,74.97527266589447,899.7636332947226
9,2026,26,73.64000000000001,833.0
9,2026,27,77.38231555884877,1020.115777942438
9,2026,28,75.1984069146151,910.9203457307545
9,2026,29,77.09127032208912,944.5416524774712
9,2026,30,78.1790029123996,1059.9501456199798
9,2026,31,92.12323578315863,1184.850436046619
9,2026,32,96.77754185710037,1293.8430779316507
9,2026,33,88.44265452156806,973.1327260784028
9,2026,34,91.3584927628547,966.7857615333559
9,2026,35,86.44554270141052,833.0
9,2026,36,91.83938000747972,892.8197306697173
9,2026,37,89.79872574462277,1040.9362872311385
9,2026,38,90.33153811105612,833.0
9,2026,39,103.55582619408347,833.0
9,2026,40,106.95370508006218,833.0
9,2026,41,90.80987589522935,833.0
9,2026,42,117.91145424149914,833.0
9,2026,43,122.90031780045302,833.0
9,2026,44,117.6158739409482,790.0
9,2026,45,69.72,415.0
9,2026,46,53.592,319.0
9,2026,47,31.28,391.0
9,2026,48,63.56,613.0
9,2026,49,100.11725889910483,833.0
9,2026,50,100.52000000000001,833.0
9,2026,51,96.79492084768566,833.0
10,2025,52,0.0,0.0
10,2026,1,0.0,0.0
10,2026,2,0.12474939230489228,6.237469615244614
10,2026,3,0.6863981218679694,34.31990609339847
10,2026,4,1.8976095585932176,94.88047792966088
10,2026,5,4.231094855159813,211.55474275799065
10,2026,6,4.491296731418066,224.5648365709033
10,2026,7,30.8,385.0
10,2026,8,32.16101516118197,453.05075805909854
10,2026,9,28.812768455817796,385.0
10,2026,10,32.55222370167058,385.0
10,2026,11,84.24609316351155,772.3046581755766
10,2026,12,65.15054507878726,408.5272539393628
10,2026,13,53.26993292188173,385.0
10,2026,14,2.2326008527808634,111.63004263904318
10,2026,15,1.9787910579653523,98.93955289826762
10,2026,16,2.536218796092941,126.81093980464706
10,2026,17,38.592424194590414,385.0
10,2026,18,72.9083341480287,801.2860083428436
10,2026,19,26.386367055912118,650.2968940295241
10,2026,20,3.5155277073228746,175.77638536614373
10,2026,21,10.306970634038445,515.3485317019222
10,2026,22,31.73564392064855,431.78219603242724
10,2026,23,73.32488449240122,817.2442246200609
10,2026,24,73.87617483865972,844.8087419329863
10,2026,25,74.4511588094822,873.5579404741097
10,2026,26,73.11565275635661,806.7826378178308
10,2026,27,64.38225312945298,760.8437998711939
10,2026,28,36.92136461793324,691.0682308966622
10,2026,29,36.38932158498461,664.4660792492302
10,2026,30,40.51590539240366,870.7952696201829
10,2026,31,76.93659441503402,997.8297207517012
10,2026,32,67.78534440175441,1140.8589877385305
10,2026,33,68.7506387991352,833.0
10,2026,34,39.760000000000005,833.0
10,2026,35,32.318254412202975,460.91272061014877
10,2026,36,34.732915079083355,581.6457539541677
10,2026,37,32.710296468476756,585.0
10,2026,38,14.472692349284362,385.0
10,2026,39,2.39344894295861,119.67244714793051
10,2026,40,4.092499327231089,204.6249663615544
10,2026,41,0.0,0.0
10,2026,42,0.0,0.0
10,2026,43,0.0,0.0
10,2026,44,0.0,0.0
10,2026,45,0.0,0.0
10,2026,46,0.0,0.0
10,2026,47,0.0,0.0
10,2026,48,0.0,0.0
10,2026,49,0.0,0.0
10,2026,50,0.0,0.0
10,2026,51,0.0,0.0
11,2025,52,0.0,0.0
11,2026,1,0.0,0.0
11,2026,2,0.1067588105739598,5.33794052869799
11,2026,3,4.186872986786403,209.34364933932017
11,2026,4,10.813499173963116,383.4504526254871
11,2026,5,11.55210140670145,328.5945329985433
11,2026,6,5.8582710681500485,292.91355340750243
11,2026,7,12.84547620512849,334.2671313951192
11,2026,8,31.642584606579973,427.1292303289985
11,2026,9,30.8,385.0
11,2026,10,22.71291868496599,385.0
11,2026,11,30.8,385.0
11,2026,12,55.49852603183329,493.2782472728357
11,2026,13,59.84911237133049,436.90655692421024
11,2026,14,66.08897490496352,436.1987452481758
11,2026,15,82.20450778704188,742.0
11,2026,16,77.45280813097195,792.9325733478827
11,2026,17,58.84443126889589,385.0
11,2026,18,86.9350679066643,833.0
11,2026,19,90.32459647477025,949.9224048231597
11,2026,20,73.64000000000001,833.0
11,2026,21,73.55601526127629,828.8007630638147
11,2026,22,71.74550921364778,738.2754606823885
11,2026,23,73.87377841830371,844.6889209151857
11,2026,24,72.04524902547143,753.2624512735717
11,2026,25,72.77304585340309,789.6522926701549
11,2026,26,70.73650238527995,687.8251192639971
11,2026,27,77.09551706442414,1005.7758532212072
11,2026,28,74.77234129325674,889.6170646628368
11,2026,29,74.16411118352423,859.2055591762115
11,2026,30,77.2983642744411,1015.9182137220545
11,2026,31,80.54271434997315,965.7271076171442
11,2026,32,92.56157489756544,1179.078744878272
11,2026,33,86.40041607338094,925.2288049155206
11,2026,34,94.5036656498665,920.2682134229319
11,2026,35,77.13505291114481,833.0
