simulation,calendar_year,calendar_week,stage,stored_energy_gwh,thermal_generation_gwh,thermal_peak_block_mw,thermal_positive,stored_energy_gwh_within_week,thermal_generation_gwh_within_week,thermal_peak_block_mw_within_week
83,2026,36,37,2054.753106,28.631787339389888,472.8414118508607,True,876.183254901099,-43.88603515218598,-250.2191800677649
83,2026,37,38,1921.159263,37.62360968129136,726.1804840645682,True,738.7641737472527,-34.83167353839695,-30.848563162621645
83,2026,38,39,1889.290384,30.6941932619525,417.2426061419193,True,708.0277858571428,-34.61032073885776,-140.6129424799791
83,2026,39,40,1767.045049,61.08113911430591,432.2762946612084,True,573.7922370659342,-0.188551401459641,-76.46040895655608
83,2026,40,41,1764.904933,59.493372869688685,440.0577878663985,True,525.330005956044,-2.6545927009977746,-76.3799966951683
83,2026,41,42,1759.013831,64.68,385.0,True,438.4697926483516,11.06216902584056,-15.802541346189912
83,2026,42,43,2011.278321,53.14442657850712,385.0,True,605.9513427142858,-1.7473120455499753,-18.72103550268008
83,2026,43,44,2123.097364,41.58184567167692,385.0,True,627.1508006703298,-10.740114612902055,8.865813975512594
83,2026,44,45,2067.25475,47.32072056815626,385.0,True,454.94801942857134,-3.752400781496817,6.000510637697516
83,2026,45,46,1939.153059,18.887609790666417,130.38048953332097,True,245.05156301098896,-5.517890941322335,-84.43955903049664
83,2026,46,47,1796.674496,1.42,71.0,True,20.850277978022177,-10.778181147612608,-55.853706275269076
83,2026,47,48,1812.779884,0.0,0.0,False,-20.21304108791196,-14.056686759344725,-134.46650790755115
83,2026,48,49,2128.133521,27.72,165.0,True,212.6610305164836,-4.329143315414662,-78.01982607495509
83,2026,49,50,2349.432589,64.68,385.0,True,323.5920740219781,8.978155181878982,-30.92628361157341
83,2026,50,51,2361.392455,64.68,385.0,True,242.60218536263756,7.55494936432671,-49.36710116397836
83,2026,51,52,2310.336722,64.68,385.0,True,57.267123274725236,9.42127214593014,-57.511080998561624
84,2025,52,1,3527.436374,0.0,0.0,False,-195.50934178021953,0.0,0.0
84,2026,1,2,3416.817984,0.0,0.0,False,-303.32187886813244,0.0,0.0
84,2026,2,3,3311.963873,23.158925395291934,385.0,True,-362.1245331208788,20.995413556471828,323.2590731655745
84,2026,3,4,3252.602304,30.8,385.0,True,-373.3238584505493,19.411188280719795,132.49037882303804
84,2026,4,5,3480.235833,21.02570351498277,385.0,True,-104.35056912087884,6.243100015586437,92.60906745037039
84,2026,5,6,3369.974828,30.8,385.0,True,-178.3344648791208,11.439812295845517,47.33360842939527
84,2026,6,7,3194.480118,30.8,385.0,True,-297.6161871758245,11.42040345852379,84.8785847375139
84,2026,7,8,3199.155489,30.8,385.0,True,-226.0794450769231,6.541267374568388,80.74010479399936
84,2026,8,9,3515.243512,37.825606109671774,518.3372373545676,True,127.94986958241725,-5.9512855300586835,9.78632884799788
