date,series_type,plant_group,site_code,site,island_code,flow_type,flow_m3s,volume_mm3_day,quality_code,source_file
1980-01-11,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.555555555555555,1.344,200,SI_HWE_Spill_LakeHawea.csv
1980-01-11,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,157.87037037037038,13.64,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-11,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-11,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,234.54861111111111,20.265,200,SI_PKI_Spill_LakePukaki.csv
1980-01-11,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,476.77083333333326,41.193,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-11,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,115.67129629629629,9.994,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-11,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,71.86342592592592,6.209,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-11,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,154.8148148148148,13.376,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-12,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.354166666666668,1.413,200,SI_HWE_Spill_LakeHawea.csv
1980-01-12,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,160.01157407407405,13.825,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-12,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-12,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,257.8703703703704,22.28,200,SI_PKI_Spill_LakePukaki.csv
1980-01-12,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,485.6712962962963,41.962,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-12,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,111.78240740740739,9.658,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-12,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,72.65046296296296,6.277,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-12,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,152.06018518518516,13.138,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-13,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-13,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,158.37962962962962,13.684,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-13,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-13,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,299.4444444444444,25.872,200,SI_PKI_Spill_LakePukaki.csv
1980-01-13,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,472.85879629629625,40.855,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-13,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,91.4699074074074,7.903,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-13,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,109.61805555555556,9.471,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-13,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,161.52777777777777,13.956,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-14,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-14,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,118.73842592592592,10.259,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-14,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-14,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,299.60648148148147,25.886,200,SI_PKI_Spill_LakePukaki.csv
1980-01-14,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,411.40046296296293,35.545,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-14,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,82.5,7.128,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-14,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,69.93055555555554,6.042,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-14,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,179.53703703703704,15.512,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-15,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-15,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,97.29166666666667,8.406,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-15,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-15,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,300.10416666666663,25.929,200,SI_PKI_Spill_LakePukaki.csv
1980-01-15,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,370.35879629629625,31.999,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-15,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,61.44675925925926,5.309,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-15,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,92.77777777777777,8.016,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-15,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,171.3310185185185,14.803,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-16,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-16,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,140.20833333333334,12.114,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-16,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-16,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,358.85416666666663,31.005,200,SI_PKI_Spill_LakePukaki.csv
1980-01-16,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,407.037037037037,35.168,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-16,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,105.3125,9.099,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-16,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,63.298611111111114,5.469,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-16,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,171.18055555555554,14.79,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-17,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-17,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,171.3773148148148,14.807,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-17,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-17,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,503.40277777777777,43.494,200,SI_PKI_Spill_LakePukaki.csv
1980-01-17,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,458.9699074074074,39.655,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-17,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,152.04861111111111,13.137,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-17,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,35.77546296296296,3.091,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-17,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,129.12037037037038,11.156,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-18,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-18,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,168.99305555555554,14.601,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-18,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-18,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,559.9189814814815,48.377,200,SI_PKI_Spill_LakePukaki.csv
1980-01-18,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,481.8287037037037,41.63,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-18,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,155.9837962962963,13.477,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-18,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,31.52777777777778,2.724,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-18,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,173.18287037037035,14.963,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-19,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-19,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,191.5972222222222,16.554,200,SI_MAN_Spill_LakeManapouri.csv
