date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-09,Waitaki river,OHA,Lake Ohau,SI,519.485,2.109,,2.109,320,SI_OHA_Storage_LakeOhau.csv
1980-01-09,Waitaki river,PKI,Lake Pukaki,SI,532.437,2413.644,,2413.644,320,SI_PKI_Storage_LakePukaki.csv
1980-01-09,Manapouri,TAU,Lake Te Anau,SI,203.147,804.675,,804.675,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-09,Waitaki river,TKA,Lake Tekapo,SI,710.798,622.29,0.0,622.29,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-09,Waikato river,TPO,Lake Taupo,NI,357.019,714.396,,714.396,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-09,Clutha,WAN,Lake Wanaka,SI,277.722,448.343,,448.343,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-09,Waikaremoana,WKA,Lake Waikaremoana,NI,583.101,147.575,,147.575,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-09,Clutha,WPU,Lake Wakatipu,SI,310.268,415.502,,415.502,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-10,Clutha,HWE,Lake Hawea,SI,346.198,2188.308,,2188.308,320,SI_HWE_Storage_LakeHawea.csv
1980-01-10,Manapouri,MAN,Lake Manapouri,SI,178.0,296.533,,296.533,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-10,Waitaki river,OHA,Lake Ohau,SI,519.373,0.0,,0.0,320,SI_OHA_Storage_LakeOhau.csv
1980-01-10,Waitaki river,PKI,Lake Pukaki,SI,532.396,2406.343,,2406.343,320,SI_PKI_Storage_LakePukaki.csv
1980-01-10,Manapouri,TAU,Lake Te Anau,SI,203.122,796.082,,796.082,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-10,Waitaki river,TKA,Lake Tekapo,SI,710.732,615.644,0.0,615.644,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-10,Waikato river,TPO,Lake Taupo,NI,357.029,721.008,,721.008,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-10,Clutha,WAN,Lake Wanaka,SI,277.669,438.118,,438.118,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-10,Waikaremoana,WKA,Lake Waikaremoana,NI,583.113,148.202,,148.202,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-10,Clutha,WPU,Lake Wakatipu,SI,310.241,407.526,,407.526,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-11,Clutha,HWE,Lake Hawea,SI,346.226,2192.395,,2192.395,320,SI_HWE_Storage_LakeHawea.csv
1980-01-11,Manapouri,MAN,Lake Manapouri,SI,177.962,291.251,,291.251,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-11,Waitaki river,OHA,Lake Ohau,SI,519.275,0.0,,0.0,320,SI_OHA_Storage_LakeOhau.csv
1980-01-11,Waitaki river,PKI,Lake Pukaki,SI,532.392,2405.73,,2405.73,320,SI_PKI_Storage_LakePukaki.csv
1980-01-11,Manapouri,TAU,Lake Te Anau,SI,203.055,772.239,,772.239,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-11,Waitaki river,TKA,Lake Tekapo,SI,710.664,608.881,0.0,608.881,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-11,Waikato river,TPO,Lake Taupo,NI,357.028,719.843,,719.843,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-11,Clutha,WAN,Lake Wanaka,SI,277.624,429.431,,429.431,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-11,Waikaremoana,WKA,Lake Waikaremoana,NI,583.117,148.413,,148.413,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-11,Clutha,WPU,Lake Wakatipu,SI,310.215,400.123,,400.123,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-12,Clutha,HWE,Lake Hawea,SI,346.258,2197.301,,2197.301,320,SI_HWE_Storage_LakeHawea.csv
