date,fuel,generation_mwh
2020-03-01,Hydro,59165.927
2020-03-01,Liquid fuel,0.0
2020-03-01,Wind,3275.691
2020-03-01,Wood,751.468
2020-03-02,Coal,7022.657
2020-03-02,Gas,15006.427
2020-03-02,Geothermal,20805.216
2020-03-02,Hydro,67170.614
2020-03-02,Liquid fuel,0.0
2020-03-02,Wind,3109.683
2020-03-02,Wood,739.37
2020-03-03,Coal,6815.091
2020-03-03,Gas,14098.031
2020-03-03,Geothermal,20490.92
2020-03-03,Hydro,67183.687
2020-03-03,Liquid fuel,0.0
2020-03-03,Wind,6552.189
2020-03-03,Wood,455.838
2020-03-04,Coal,4678.25
2020-03-04,Gas,13221.957
2020-03-04,Geothermal,20272.937
2020-03-04,Hydro,67369.761
2020-03-04,Liquid fuel,0.0
2020-03-04,Wind,9005.609
2020-03-04,Wood,0.0
2020-03-05,Coal,4787.375
2020-03-05,Gas,13490.608
2020-03-05,Geothermal,20816.535
2020-03-05,Hydro,66948.262
2020-03-05,Liquid fuel,0.0
2020-03-05,Wind,6608.93
2020-03-05,Wood,541.517
2020-03-06,Coal,7632.177
2020-03-06,Gas,12739.849
2020-03-06,Geothermal,21114.853
2020-03-06,Hydro,66252.912
2020-03-06,Liquid fuel,0.0
2020-03-06,Wind,4183.929
2020-03-06,Wood,774.462
2020-03-07,Coal,6761.043
2020-03-07,Gas,12832.218
2020-03-07,Geothermal,21106.239
2020-03-07,Hydro,57883.154
2020-03-07,Liquid fuel,0.0
2020-03-07,Wind,2692.212
2020-03-07,Wood,666.279
2020-03-08,Coal,4375.692
2020-03-08,Gas,13515.262
2020-03-08,Geothermal,20862.729
2020-03-08,Hydro,58530.934
2020-03-08,Liquid fuel,0.0
2020-03-08,Wind,2872.776
2020-03-08,Wood,496.192
2020-03-09,Coal,7262.327
2020-03-09,Gas,15253.607
2020-03-09,Geothermal,20938.721
2020-03-09,Hydro,62444.045
2020-03-09,Liquid fuel,0.0
2020-03-09,Wind,5076.094
2020-03-09,Wood,804.629
2020-03-10,Coal,7143.621
2020-03-10,Gas,14631.402
2020-03-10,Geothermal,21027.36
2020-03-10,Hydro,62411.493
2020-03-10,Liquid fuel,0.0
2020-03-10,Wind,7063.979
2020-03-10,Wood,811.583
2020-03-11,Coal,8334.435
2020-03-11,Gas,12050.17
2020-03-11,Geothermal,21255.241
2020-03-11,Hydro,65438.108
2020-03-11,Liquid fuel,0.0
2020-03-11,Wind,5058.447
2020-03-11,Wood,776.929
2020-03-12,Coal,10029.482
2020-03-12,Gas,11752.882
2020-03-12,Geothermal,21284.117
2020-03-12,Hydro,66710.055
2020-03-12,Liquid fuel,0.0
2020-03-12,Wind,2686.501
2020-03-12,Wood,671.859
2020-03-13,Coal,8257.556
2020-03-13,Gas,12253.234
2020-03-13,Geothermal,21334.229
2020-03-13,Hydro,65498.013
2020-03-13,Liquid fuel,0.0
2020-03-13,Wind,2988.1
2020-03-13,Wood,651.605
2020-03-14,Coal,4753.649
2020-03-14,Gas,13103.242
2020-03-14,Geothermal,21433.437
2020-03-14,Hydro,61045.729
2020-03-14,Liquid fuel,0.0
2020-03-14,Wind,1659.993
2020-03-14,Wood,775.697
2020-03-15,Coal,5304.414
2020-03-15,Gas,12162.848
2020-03-15,Geothermal,21377.885
2020-03-15,Hydro,58406.005
2020-03-15,Liquid fuel,0.0
2020-03-15,Wind,1807.392
2020-03-15,Wood,772.086
2020-03-16,Coal,8400.501
2020-03-16,Gas,11961.825
2020-03-16,Geothermal,21319.56
2020-03-16,Hydro,61329.655
2020-03-16,Liquid fuel,0.0
2020-03-16,Wind,6292.884
2020-03-16,Wood,785.525
2020-03-17,Coal,8737.965
2020-03-17,Gas,13774.683
2020-03-17,Geothermal,21138.714
2020-03-17,Hydro,60271.461
2020-03-17,Liquid fuel,0.0
2020-03-17,Wind,8939.985
2020-03-17,Wood,801.395
2020-03-18,Coal,10620.545
2020-03-18,Gas,12625.02
2020-03-18,Geothermal,21449.081
2020-03-18,Hydro,66127.85
2020-03-18,Liquid fuel,0.0
2020-03-18,Wind,2415.096
2020-03-18,Wood,695.633
2020-03-19,Coal,9730.703
2020-03-19,Gas,10049.032
2020-03-19,Geothermal,21632.843
2020-03-19,Hydro,60416.317
2020-03-19,Liquid fuel,0.0
2020-03-19,Wind,10372.793
2020-03-19,Wood,795.002
2020-03-20,Coal,9725.8
2020-03-20,Gas,11409.664
2020-03-20,Geothermal,21649.608
2020-03-20,Hydro,63025.821
2020-03-20,Liquid fuel,0.0
2020-03-20,Wind,6482.364
2020-03-20,Wood,790.618
2020-03-21,Coal,6678.732
2020-03-21,Gas,12871.393
2020-03-21,Geothermal,21863.584
2020-03-21,Hydro,59754.504
2020-03-21,Liquid fuel,0.0
2020-03-21,Wind,2575.019
2020-03-21,Wood,730.879
2020-03-22,Coal,4786.977
2020-03-22,Gas,10520.585
2020-03-22,Geothermal,21635.632
2020-03-22,Hydro,53997.225
2020-03-22,Liquid fuel,0.0
2020-03-22,Wind,9535.003
2020-03-22,Wood,738.981
2020-03-23,Coal,8963.376
2020-03-23,Gas,10225.937
2020-03-23,Geothermal,21365.704
2020-03-23,Hydro,61473.593
2020-03-23,Liquid fuel,0.0
2020-03-23,Wind,7833.486
2020-03-23,Wood,831.62
2020-03-24,Coal,8142.72
2020-03-24,Gas,10951.48
2020-03-24,Geothermal,21863.487
2020-03-24,Hydro,63566.011
2020-03-24,Liquid fuel,0.0
2020-03-24,Wind,4955.66
2020-03-24,Wood,761.38
2020-03-25,Coal,5064.489
2020-03-25,Gas,11757.866
2020-03-25,Geothermal,22080.984
2020-03-25,Hydro,60118.375
2020-03-25,Liquid fuel,0.0
2020-03-25,Wind,3395.56
2020-03-25,Wood,798.147
2020-03-26,Coal,3522.336
2020-03-26,Gas,11288.729
2020-03-26,Geothermal,21689.65
2020-03-26,Hydro,51389.436
2020-03-26,Liquid fuel,0.0
2020-03-26,Wind,7442.422
2020-03-26,Wood,766.179
2020-03-27,Coal,41.356
2020-03-27,Gas,14050.197
2020-03-27,Geothermal,21552.873
2020-03-27,Hydro,56809.216
2020-03-27,Liquid fuel,0.0
2020-03-27,Wind,3640.662
2020-03-27,Wood,765.037
2020-03-28,Gas,11484.158
2020-03-28,Geothermal,21466.252
2020-03-28,Hydro,53307.813
2020-03-28,Liquid fuel,0.0
2020-03-28,Wind,6115.194
2020-03-28,Wood,715.189
2020-03-29,Gas,10792.435
2020-03-29,Geothermal,21425.315
2020-03-29,Hydro,55555.707
2020-03-29,Liquid fuel,0.0
2020-03-29,Wind,3613.808
2020-03-29,Wood,705.605
2020-03-30,Gas,11265.448
2020-03-30,Geothermal,21289.223
2020-03-30,Hydro,57820.712
2020-03-30,Liquid fuel,0.0
2020-03-30,Wind,3899.21
2020-03-30,Wood,804.074
2020-03-31,Coal,2764.68
2020-03-31,Gas,11193.003
2020-03-31,Geothermal,21344.32
2020-03-31,Hydro,55971.962
2020-03-31,Liquid fuel,0.0
2020-03-31,Wind,1828.686
2020-03-31,Wood,700.068
2020-04-01,Coal,2266.44
2020-04-01,Gas,11108.654
2020-04-01,Geothermal,21368.575
2020-04-01,Hydro,56560.689
2020-04-01,Liquid fuel,0.0
2020-04-01,Wind,294.878
2020-04-01,Wood,549.594
2020-04-02,Coal,2193.976
2020-04-02,Gas,10891.779
2020-04-02,Geothermal,21395.419
2020-04-02,Hydro,56667.703
2020-04-02,Liquid fuel,0.0
2020-04-02,Wind,1454.607
2020-04-02,Wood,700.821
2020-04-03,Gas,12466.963
2020-04-03,Geothermal,21411.551
2020-04-03,Hydro,56644.871
2020-04-03,Liquid fuel,0.0
2020-04-03,Wind,2563.99
2020-04-03,Wood,724.819
2020-04-04,Gas,12722.055
2020-04-04,Geothermal,21639.64
2020-04-04,Hydro,50775.247
2020-04-04,Liquid fuel,0.0
2020-04-04,Wind,3591.095
2020-04-04,Wood,788.971
2020-04-05,Gas,13091.824
2020-04-05,Geothermal,22967.32
2020-04-05,Hydro,50243.702
2020-04-05,Liquid fuel,0.0
2020-04-05,Wind,3419.344
2020-04-05,Wood,844.14
2020-04-06,Gas,11230.005
2020-04-06,Geothermal,22044.122
2020-04-06,Hydro,57047.906
2020-04-06,Liquid fuel,0.0
2020-04-06,Wind,1868.712
2020-04-06,Wood,777.807
2020-04-07,Gas,10769.854
2020-04-07,Geothermal,21841.471
2020-04-07,Hydro,53682.643
2020-04-07,Liquid fuel,0.0
2020-04-07,Wind,6425.467
2020-04-07,Wood,591.711
2020-04-08,Gas,10554.409
2020-04-08,Geothermal,21778.696
2020-04-08,Hydro,58103.872
2020-04-08,Liquid fuel,0.0
2020-04-08,Wind,3585.238
2020-04-08,Wood,221.637
2020-04-09,Coal,2229.742
2020-04-09,Gas,9200.59
2020-04-09,Geothermal,21888.303
2020-04-09,Hydro,55065.292
2020-04-09,Liquid fuel,0.0
2020-04-09,Wind,5324.944
2020-04-09,Wood,471.682
2020-04-10,Gas,10054.826
2020-04-10,Geothermal,22064.145
2020-04-10,Hydro,56184.171
2020-04-10,Liquid fuel,0.0
2020-04-10,Wind,1155.444
2020-04-10,Wood,733.511
2020-04-11,Gas,10241.19
2020-04-11,Geothermal,22015.659
2020-04-11,Hydro,52103.349
2020-04-11,Liquid fuel,0.0
2020-04-11,Wind,4361.374
2020-04-11,Wood,637.86
2020-04-12,Gas,9051.143
2020-04-12,Geothermal,21841.891
2020-04-12,Hydro,46922.147
2020-04-12,Liquid fuel,0.0
2020-04-12,Wind,8931.891
2020-04-12,Wood,555.85
2020-04-13,Gas,8098.132
