date,represented_storage_mm3,represented_site_count,month_day,storage_p05_mm3,storage_p25_mm3,storage_median_mm3,storage_p75_mm3,storage_p95_mm3,historical_years,price_mean_nzd_mwh,price_p95_nzd_mwh,price_max_nzd_mwh,thermal_generation_gwh,thermal_peak_mw
2024-07-08,3115.5,10,07-08,2635.6778,4115.933999999999,4986.9915,5569.2685,6494.1646,44,296.2258796296296,354.87611111111113,401.3688888888889,28.334931,1449.202
2024-07-09,3063.842,10,07-09,2594.3262499999996,4138.7055,4963.463,5556.0912499999995,6437.53415,44,325.97868055555557,440.60644444444443,475.0244444444445,28.397159,1380.286
2024-07-10,3007.8340000000003,10,07-10,2548.3219,4144.81725,4943.451999999999,5577.51375,6449.8173,44,355.97525462962966,455.60588888888884,521.5544444444445,28.542881,1371.434
2024-07-11,2951.999,10,07-11,2512.7942,4141.4335,4925.014999999999,5586.5535,6415.55205,44,329.5941898148148,437.44583333333327,460.0944444444445,30.086117,1736.56
2024-07-12,2899.496,10,07-12,2617.85475,4129.76325,4902.3369999999995,5537.4435,6377.10375,44,349.8526851851852,445.48661111111113,465.24666666666667,31.971206,1569.608
2024-07-13,2848.561,10,07-13,2612.3122,4138.3255,4879.360500000001,5476.669,6325.156000000001,44,373.68886574074077,490.8783888888888,519.9311111111111,30.7869,1447.834
2024-07-14,2799.7309999999998,10,07-14,2589.09105,4123.29975,4877.8645,5421.84425,6258.13835,44,362.7821527777778,469.6650555555555,494.6255555555556,30.010806,1487.118
2024-07-15,2750.952,10,07-15,2575.1708500000004,4088.52225,4878.9635,5469.16975,6195.801300000001,44,366.83726851851856,548.5705,551.2111111111111,32.209017,1526.232
2024-07-16,2702.242,10,07-16,2541.3375499999997,4035.5125,4845.5064999999995,5413.85825,6133.4653,44,342.8046527777778,401.35961111111106,420.7311111111111,31.034282,1449.2
2024-07-17,2646.167,10,07-17,2528.8709,3996.6755,4814.2865,5351.50925,6081.1943,44,446.7977777777778,643.6398888888889,655.9877777777779,33.817471,1652.38
2024-07-18,2586.156,10,07-18,2514.1889,3966.31175,4806.951499999999,5297.228,6045.754599999999,44,354.99125000000004,402.3277777777777,443.8355555555556,34.165202,1592.006
2024-07-19,2525.498,10,07-19,2493.1371,3963.1755000000003,4823.3945,5313.4075,6005.59645,44,377.6056018518518,520.5303888888889,594.9977777777777,32.705684,1493.704
2024-07-20,2487.71,10,07-20,2512.3429,3968.2275,4826.380999999999,5335.496,5954.593800000001,44,428.25608796296297,647.0595555555556,669.4577777777778,30.341021,1440.402
2024-07-21,2459.12,10,07-21,2570.86125,3950.648,4815.2845,5282.217250000001,5892.626,44,363.7843287037037,548.9092222222222,573.9766666666667,29.083185,1449.84
2024-07-22,2421.603,10,07-22,2572.3865,3936.94975,4816.2815,5299.76975,5831.44565,44,351.8644675925926,501.96877777777775,623.9522222222222,33.113408,1582.846
2024-07-23,2376.576,10,07-23,2615.4564,3921.7549999999997,4804.405000000001,5377.7595,5893.601,44,429.81164351851857,600.7898333333333,730.968888888889,33.626218,1557.394
2024-07-24,2318.3669999999997,10,07-24,2656.1369999999997,3908.1502499999997,4748.4335,5377.743,6031.41235,44,426.23375000000004,644.6703333333334,721.81,33.734973,1574.19
2024-07-25,2269.946,10,07-25,2698.81195,3878.5205,4686.962,5343.132250000001,5989.079950000001,44,388.9648611111111,500.6186111111111,587.8377777777778,32.195834,1532.226
