date,site_code,reservoir,storage_mm3,storage_change_mm3_day,headwater_inflow_mm3_day,implied_total_outflow_mm3_day,hmd_spill_release_mm3_day,residual_controlled_release_mm3_day
1980-01-25,PKI,Lake Pukaki,2422.125,-3.161,14.773968,17.934968,21.01,-3.075032
1980-01-25,TAU,Lake Te Anau,693.601,-4.259,34.897046,39.156046,42.992,-3.835954
1980-01-25,TKA,Lake Tekapo,601.588,-4.973,11.262413,16.235413,15.229,1.006413
1980-01-25,TPO,Lake Taupo,802.091,-4.46,21.495024,25.955024,24.0,1.955024
1980-01-25,WKA,Lake Waikaremoana,153.809,-0.16,1.114042,1.274042,0.0,1.274042
1980-01-26,HWE,Lake Hawea,2281.542,-0.218,16.353274,16.571274,5.56,11.011274
1980-01-26,MAN,Lake Manapouri,393.827,13.524,33.610723,20.086723,25.926,-5.839277
1980-01-26,OHA,Lake Ohau,1.39,-1.937,9.8496,11.7866,0.0,11.7866
1980-01-26,PKI,Lake Pukaki,2417.049,-5.076,16.984685,22.060685,20.962,1.098685
1980-01-26,TAU,Lake Te Anau,694.45,0.849,95.547859,94.698859,42.827,51.871859
1980-01-26,TKA,Lake Tekapo,597.692,-3.896,11.920349,15.816349,13.979,1.837349
1980-01-26,TPO,Lake Taupo,793.164,-8.927,15.410995,24.337995,22.761,1.576995
1980-01-26,WKA,Lake Waikaremoana,154.02,0.211,0.7668,0.5558,0.0,0.5558
1980-01-27,HWE,Lake Hawea,2294.033,12.491,24.518074,12.027074,5.56,6.467074
1980-01-27,MAN,Lake Manapouri,471.436,77.609,83.594765,5.985765,38.135,-32.149235
1980-01-27,OHA,Lake Ohau,19.354,17.964,52.3584,34.3944,0.02,34.3744
1980-01-27,PKI,Lake Pukaki,2439.218,22.169,79.161754,56.992754,27.431,29.561754
1980-01-27,TAU,Lake Te Anau,851.812,157.362,215.671853,58.309853,50.874,7.435853
1980-01-27,TKA,Lake Tekapo,607.752,10.06,39.472186,29.412186,15.493,13.919186
1980-01-27,TPO,Lake Taupo,785.332,-7.832,14.281574,22.113574,19.747,2.366574
1980-01-27,WKA,Lake Waikaremoana,154.753,0.733,0.530237,-0.202763,0.0,-0.202763
1980-01-28,HWE,Lake Hawea,2308.237,14.204,17.14487,2.94087,5.56,-2.61913
1980-01-28,MAN,Lake Manapouri,504.008,32.572,11.721888,-20.850112,42.816,-63.666112
1980-01-28,OHA,Lake Ohau,41.308,21.954,19.872,-2.082,0.404,-2.486
1980-01-28,PKI,Lake Pukaki,2477.325,38.107,48.503664,10.396664,36.198,-25.801336
1980-01-28,TAU,Lake Te Anau,904.282,52.47,47.038061,-5.431939,53.675,-59.106939
1980-01-28,TKA,Lake Tekapo,630.784,23.032,24.413702,1.381702,18.475,-17.093298
1980-01-28,TPO,Lake Taupo,778.74,-6.592,15.712358,22.304358,21.429,0.875358
1980-01-28,WKA,Lake Waikaremoana,154.65,-0.103,0.587693,0.690693,0.0,0.690693
1980-01-29,HWE,Lake Hawea,2311.883,3.646,9.236074,5.590074,5.56,0.030074
1980-01-29,MAN,Lake Manapouri,505.316,1.308,4.854557,3.546557,42.603,-39.056443
1980-01-29,OHA,Lake Ohau,41.006,-0.302,14.9472,15.2492,0.374,14.8752
1980-01-29,PKI,Lake Pukaki,2478.558,1.233,28.449965,27.216965,36.255,-9.038035
1980-01-29,TAU,Lake Te Anau,886.719,-17.563,31.523731,49.086731,52.793,-3.706269
1980-01-29,TKA,Lake Tekapo,631.863,1.079,16.662067,15.583067,19.295,-3.711933
1980-01-29,TPO,Lake Taupo,770.533,-8.207,14.670202,22.877202,21.229,1.648202
1980-01-29,WKA,Lake Waikaremoana,154.334,-0.316,1.195085,1.511085,0.0,1.511085
1980-01-30,HWE,Lake Hawea,2310.808,-1.075,7.498915,8.573915,5.56,3.013915
1980-01-30,MAN,Lake Manapouri,498.054,-7.262,3.385498,10.647498,41.101,-30.453502
1980-01-30,OHA,Lake Ohau,36.892,-4.114,13.1328,17.2468,0.066,17.1808
1980-01-30,PKI,Lake Pukaki,2470.568,-7.99,23.550221,31.540221,36.268,-4.727779
1980-01-30,TAU,Lake Te Anau,864.799,-21.92,26.741923,48.661923,51.754,-3.092077
1980-01-30,TKA,Lake Tekapo,628.298,-3.565,13.774579,17.339579,16.88,0.459579
1980-01-30,TPO,Lake Taupo,763.773,-6.76,17.827258,24.587258,21.981,2.606258
1980-01-30,WKA,Lake Waikaremoana,153.496,-0.838,1.131667,1.969667,0.0,1.969667
1980-01-31,HWE,Lake Hawea,2309.293,-1.515,7.499088,9.014088,5.56,3.454088
1980-01-31,MAN,Lake Manapouri,490.724,-7.33,6.844608,14.174608,39.703,-25.528392
1980-01-31,OHA,Lake Ohau,31.678,-5.214,11.4912,16.7052,0.0,16.7052
1980-01-31,PKI,Lake Pukaki,2459.81,-10.758,22.925894,33.683894,36.486,-2.802106
1980-01-31,TAU,Lake Te Anau,839.405,-25.394,30.564864,55.958864,50.415,5.543864
1980-01-31,TKA,Lake Tekapo,624.008,-4.29,12.175661,16.465661,16.867,-0.401339
1980-01-31,TPO,Lake Taupo,757.631,-6.142,14.000429,20.142429,21.291,-1.148571
1980-01-31,WKA,Lake Waikaremoana,152.814,-0.682,0.832464,1.514464,0.0,1.514464
1980-02-01,HWE,Lake Hawea,2307.773,-1.52,7.499261,9.019261,5.56,3.459261
1980-02-01,MAN,Lake Manapouri,497.458,6.734,28.177718,21.443718,40.591,-19.147282
