year,island,inflow_volume_mm3,storage_min_mm3,storage_min_date,storage_max_mm3,storage_max_date,inflow_days_present,storage_days_present,calendar_year_complete_inflows,calendar_year_complete_storage
2009,NZ,37907.213414,3983.903,2009-07-21,7619.297,2009-05-19,365,365,True,True
2010,NI,5563.149898,78.727,2010-05-12,1047.211,2010-09-23,365,365,True,True
2010,SI,34967.093472,3046.855,2010-07-31,7712.761,2010-05-01,365,365,True,True
2010,NZ,40530.24337,3462.508,2010-07-31,7854.335,2010-05-01,365,365,True,True
2011,NI,5948.486554,455.847,2011-10-02,1047.202,2011-01-25,365,365,True,True
2011,SI,31054.625597,2153.915,2011-10-11,6872.019,2011-02-08,365,365,True,True
2011,NZ,37003.11215,2636.162,2011-10-11,7802.255,2011-02-08,365,365,True,True
2012,NI,5745.574598,395.929,2012-07-14,872.058,2012-01-12,366,366,True,True
2012,SI,27084.630528,2175.406,2012-08-25,4930.627,2012-11-04,366,366,True,True
2012,NZ,32830.205126,2756.611,2012-09-01,5633.622,2012-11-04,366,366,True,True
2013,NI,4297.205779,132.413,2013-04-16,788.008,2013-11-08,365,365,True,True
2013,SI,35723.647469,3153.735,2013-09-07,7408.291,2013-01-12,365,365,True,True
2013,NZ,40020.853248,3466.986,2013-04-26,7944.673,2013-01-12,365,365,True,True
2014,NI,4302.660557,161.168,2014-06-09,755.052,2014-01-09,365,365,True,True
2014,SI,33343.150435,2503.804,2014-10-05,6151.947,2014-01-13,365,365,True,True
2014,NZ,37645.810992,3060.479,2014-10-05,6900.846,2014-01-09,365,365,True,True
2015,NI,4939.330925,304.918,2015-04-09,831.771,2015-09-27,365,365,True,True
2015,SI,31683.193027,2722.346,2015-10-01,5696.646,2015-05-15,365,365,True,True
2015,NZ,36622.523952,3281.793,2015-04-06,6158.873,2015-05-16,365,365,True,True
2016,NI,5426.89969,255.729,2016-05-13,931.631,2016-11-18,366,366,True,True
2016,SI,35110.414742,2696.763,2016-10-10,6464.929,2016-05-18,366,366,True,True
2016,NZ,40537.314432,3594.061,2016-10-10,6727.695,2016-05-18,366,366,True,True
2017,NI,6801.032678,523.281,2017-07-18,1005.32,2017-04-07,365,365,True,True
2017,SI,27628.634736,1924.523,2017-07-20,6224.131,2017-02-02,365,365,True,True
2017,NZ,34429.667414,2450.883,2017-07-20,6985.979,2017-02-02,365,365,True,True
2018,NI,5961.713098,421.796,2018-11-24,858.737,2018-02-16,365,365,True,True
2018,SI,31287.809002,2406.254,2018-09-13,5594.453,2018-05-24,365,365,True,True
2018,NZ,37249.522099,2982.926,2018-10-23,6214.153,2018-05-25,365,365,True,True
2019,NI,4609.075306,217.281,2019-05-27,895.401,2019-12-27,365,365,True,True
2019,SI,40505.51137,2355.103,2019-10-04,7838.104,2019-12-09,365,365,True,True
2019,NZ,45114.586675,2996.347,2019-10-04,8656.8,2019-12-09,365,365,True,True
2020,NI,3902.633309,182.663,2020-05-24,875.053,2020-01-04,366,366,True,True
2020,SI,32114.429597,2013.817,2020-08-28,7170.673,2020-02-06,366,366,True,True
2020,NZ,36017.062906,2326.548,2020-08-28,7860.755,2020-02-06,366,366,True,True
2021,NI,4352.899738,105.32,2021-05-09,934.163,2021-12-17,365,365,True,True
2021,SI,34034.810947,2840.077,2021-04-10,5550.867,2021-09-14,365,365,True,True
2021,NZ,38387.710685,3046.874,2021-04-10,6312.916,2021-12-28,365,365,True,True
2022,NI,6720.252048,356.377,2022-05-29,988.673,2022-12-21,365,365,True,True
2022,SI,31158.718934,3270.279,2022-05-31,5811.602,2022-11-06,365,365,True,True
2022,NZ,37878.970982,3652.48,2022-05-30,6682.964,2022-11-06,365,365,True,True
2023,NI,5996.879971,393.979,2023-08-31,1019.607,2023-01-31,365,365,True,True
2023,SI,31839.093187,2695.272,2023-09-10,6935.67,2023-06-03,365,365,True,True
2023,NZ,37835.973158,3105.478,2023-09-06,7779.576,2023-06-03,365,365,True,True
2024,NI,4618.13616,232.046,2024-08-16,885.719,2024-01-06,366,366,True,True
2024,SI,35305.27776,1627.935,2024-08-22,5949.657,2024-12-16,366,366,True,True
2024,NZ,39923.41392,1905.322,2024-08-22,6741.071,2024-12-16,366,366,True,True
