TimePeriod,Scenario,Status,Unit,Value,Variable
2028,Growth,Projected,Percentage,0.064,Share of vehicle kilometres travelled that use electricity
2028,Innovation,Projected,Percentage,0.063,Share of vehicle kilometres travelled that use electricity
2028,Reference,Projected,Percentage,0.049,Share of vehicle kilometres travelled that use electricity
2029,Constraint,Projected,Percentage,0.045,Share of vehicle kilometres travelled that use electricity
2029,Environmental,Projected,Percentage,0.077,Share of vehicle kilometres travelled that use electricity
2029,Growth,Projected,Percentage,0.078,Share of vehicle kilometres travelled that use electricity
2029,Innovation,Projected,Percentage,0.078,Share of vehicle kilometres travelled that use electricity
2029,Reference,Projected,Percentage,0.059,Share of vehicle kilometres travelled that use electricity
2030,Constraint,Projected,Percentage,0.053,Share of vehicle kilometres travelled that use electricity
2030,Environmental,Projected,Percentage,0.095,Share of vehicle kilometres travelled that use electricity
2030,Growth,Projected,Percentage,0.096,Share of vehicle kilometres travelled that use electricity
2030,Innovation,Projected,Percentage,0.095,Share of vehicle kilometres travelled that use electricity
2030,Reference,Projected,Percentage,0.072,Share of vehicle kilometres travelled that use electricity
2031,Constraint,Projected,Percentage,0.062,Share of vehicle kilometres travelled that use electricity
2031,Environmental,Projected,Percentage,0.113,Share of vehicle kilometres travelled that use electricity
2031,Growth,Projected,Percentage,0.114,Share of vehicle kilometres travelled that use electricity
2031,Innovation,Projected,Percentage,0.114,Share of vehicle kilometres travelled that use electricity
2031,Reference,Projected,Percentage,0.086,Share of vehicle kilometres travelled that use electricity
2032,Constraint,Projected,Percentage,0.073,Share of vehicle kilometres travelled that use electricity
2032,Environmental,Projected,Percentage,0.133,Share of vehicle kilometres travelled that use electricity
2032,Growth,Projected,Percentage,0.134,Share of vehicle kilometres travelled that use electricity
2032,Innovation,Projected,Percentage,0.134,Share of vehicle kilometres travelled that use electricity
2032,Reference,Projected,Percentage,0.101,Share of vehicle kilometres travelled that use electricity
2033,Constraint,Projected,Percentage,0.086,Share of vehicle kilometres travelled that use electricity
2033,Environmental,Projected,Percentage,0.156,Share of vehicle kilometres travelled that use electricity
2033,Growth,Projected,Percentage,0.157,Share of vehicle kilometres travelled that use electricity
2033,Innovation,Projected,Percentage,0.157,Share of vehicle kilometres travelled that use electricity
2033,Reference,Projected,Percentage,0.12,Share of vehicle kilometres travelled that use electricity
2034,Constraint,Projected,Percentage,0.101,Share of vehicle kilometres travelled that use electricity
2034,Environmental,Projected,Percentage,0.182,Share of vehicle kilometres travelled that use electricity
2034,Growth,Projected,Percentage,0.184,Share of vehicle kilometres travelled that use electricity
2034,Innovation,Projected,Percentage,0.184,Share of vehicle kilometres travelled that use electricity
2034,Reference,Projected,Percentage,0.141,Share of vehicle kilometres travelled that use electricity
2035,Constraint,Projected,Percentage,0.119,Share of vehicle kilometres travelled that use electricity
2035,Environmental,Projected,Percentage,0.212,Share of vehicle kilometres travelled that use electricity
2035,Growth,Projected,Percentage,0.214,Share of vehicle kilometres travelled that use electricity
2035,Innovation,Projected,Percentage,0.214,Share of vehicle kilometres travelled that use electricity
2035,Reference,Projected,Percentage,0.166,Share of vehicle kilometres travelled that use electricity
2036,Constraint,Projected,Percentage,0.139,Share of vehicle kilometres travelled that use electricity
2036,Environmental,Projected,Percentage,0.246,Share of vehicle kilometres travelled that use electricity
2036,Growth,Projected,Percentage,0.247,Share of vehicle kilometres travelled that use electricity
2036,Innovation,Projected,Percentage,0.248,Share of vehicle kilometres travelled that use electricity
2036,Reference,Projected,Percentage,0.193,Share of vehicle kilometres travelled that use electricity
2037,Constraint,Projected,Percentage,0.162,Share of vehicle kilometres travelled that use electricity
2037,Environmental,Projected,Percentage,0.283,Share of vehicle kilometres travelled that use electricity
2037,Growth,Projected,Percentage,0.285,Share of vehicle kilometres travelled that use electricity
2037,Innovation,Projected,Percentage,0.285,Share of vehicle kilometres travelled that use electricity
2037,Reference,Projected,Percentage,0.225,Share of vehicle kilometres travelled that use electricity
2038,Constraint,Projected,Percentage,0.188,Share of vehicle kilometres travelled that use electricity
2038,Environmental,Projected,Percentage,0.324,Share of vehicle kilometres travelled that use electricity
2038,Growth,Projected,Percentage,0.326,Share of vehicle kilometres travelled that use electricity
2038,Innovation,Projected,Percentage,0.327,Share of vehicle kilometres travelled that use electricity
2038,Reference,Projected,Percentage,0.259,Share of vehicle kilometres travelled that use electricity
2039,Constraint,Projected,Percentage,0.219,Share of vehicle kilometres travelled that use electricity
2039,Environmental,Projected,Percentage,0.371,Share of vehicle kilometres travelled that use electricity
2039,Growth,Projected,Percentage,0.373,Share of vehicle kilometres travelled that use electricity
2039,Innovation,Projected,Percentage,0.374,Share of vehicle kilometres travelled that use electricity
2039,Reference,Projected,Percentage,0.3,Share of vehicle kilometres travelled that use electricity
2040,Constraint,Projected,Percentage,0.253,Share of vehicle kilometres travelled that use electricity
2040,Environmental,Projected,Percentage,0.418,Share of vehicle kilometres travelled that use electricity
2040,Growth,Projected,Percentage,0.421,Share of vehicle kilometres travelled that use electricity
2040,Innovation,Projected,Percentage,0.421,Share of vehicle kilometres travelled that use electricity
2040,Reference,Projected,Percentage,0.344,Share of vehicle kilometres travelled that use electricity
2041,Constraint,Projected,Percentage,0.291,Share of vehicle kilometres travelled that use electricity
2041,Environmental,Projected,Percentage,0.464,Share of vehicle kilometres travelled that use electricity
2041,Growth,Projected,Percentage,0.466,Share of vehicle kilometres travelled that use electricity
2041,Innovation,Projected,Percentage,0.467,Share of vehicle kilometres travelled that use electricity
2041,Reference,Projected,Percentage,0.389,Share of vehicle kilometres travelled that use electricity
2042,Constraint,Projected,Percentage,0.33,Share of vehicle kilometres travelled that use electricity
2042,Environmental,Projected,Percentage,0.506,Share of vehicle kilometres travelled that use electricity
2042,Growth,Projected,Percentage,0.509,Share of vehicle kilometres travelled that use electricity
2042,Innovation,Projected,Percentage,0.51,Share of vehicle kilometres travelled that use electricity
2042,Reference,Projected,Percentage,0.432,Share of vehicle kilometres travelled that use electricity
2043,Constraint,Projected,Percentage,0.37,Share of vehicle kilometres travelled that use electricity
2043,Environmental,Projected,Percentage,0.546,Share of vehicle kilometres travelled that use electricity
2043,Growth,Projected,Percentage,0.549,Share of vehicle kilometres travelled that use electricity
2043,Innovation,Projected,Percentage,0.55,Share of vehicle kilometres travelled that use electricity
2043,Reference,Projected,Percentage,0.473,Share of vehicle kilometres travelled that use electricity
2044,Constraint,Projected,Percentage,0.407,Share of vehicle kilometres travelled that use electricity
2044,Environmental,Projected,Percentage,0.582,Share of vehicle kilometres travelled that use electricity
2044,Growth,Projected,Percentage,0.585,Share of vehicle kilometres travelled that use electricity
2044,Innovation,Projected,Percentage,0.587,Share of vehicle kilometres travelled that use electricity
2044,Reference,Projected,Percentage,0.51,Share of vehicle kilometres travelled that use electricity
2045,Constraint,Projected,Percentage,0.444,Share of vehicle kilometres travelled that use electricity
2045,Environmental,Projected,Percentage,0.617,Share of vehicle kilometres travelled that use electricity
2045,Growth,Projected,Percentage,0.62,Share of vehicle kilometres travelled that use electricity
2045,Innovation,Projected,Percentage,0.622,Share of vehicle kilometres travelled that use electricity
2045,Reference,Projected,Percentage,0.547,Share of vehicle kilometres travelled that use electricity
2046,Constraint,Projected,Percentage,0.48,Share of vehicle kilometres travelled that use electricity
2046,Environmental,Projected,Percentage,0.65,Share of vehicle kilometres travelled that use electricity
2046,Growth,Projected,Percentage,0.653,Share of vehicle kilometres travelled that use electricity
2046,Innovation,Projected,Percentage,0.655,Share of vehicle kilometres travelled that use electricity
2046,Reference,Projected,Percentage,0.581,Share of vehicle kilometres travelled that use electricity
2047,Constraint,Projected,Percentage,0.516,Share of vehicle kilometres travelled that use electricity
2047,Environmental,Projected,Percentage,0.681,Share of vehicle kilometres travelled that use electricity
2047,Growth,Projected,Percentage,0.684,Share of vehicle kilometres travelled that use electricity
2047,Innovation,Projected,Percentage,0.686,Share of vehicle kilometres travelled that use electricity
2047,Reference,Projected,Percentage,0.615,Share of vehicle kilometres travelled that use electricity
2048,Constraint,Projected,Percentage,0.55,Share of vehicle kilometres travelled that use electricity
2048,Environmental,Projected,Percentage,0.71,Share of vehicle kilometres travelled that use electricity
2048,Growth,Projected,Percentage,0.713,Share of vehicle kilometres travelled that use electricity
2048,Innovation,Projected,Percentage,0.715,Share of vehicle kilometres travelled that use electricity
2048,Reference,Projected,Percentage,0.646,Share of vehicle kilometres travelled that use electricity
2049,Constraint,Projected,Percentage,0.58,Share of vehicle kilometres travelled that use electricity
2049,Environmental,Projected,Percentage,0.735,Share of vehicle kilometres travelled that use electricity
2049,Growth,Projected,Percentage,0.739,Share of vehicle kilometres travelled that use electricity
2049,Innovation,Projected,Percentage,0.741,Share of vehicle kilometres travelled that use electricity
2049,Reference,Projected,Percentage,0.674,Share of vehicle kilometres travelled that use electricity
2050,Constraint,Projected,Percentage,0.608,Share of vehicle kilometres travelled that use electricity
2050,Environmental,Projected,Percentage,0.759,Share of vehicle kilometres travelled that use electricity
2050,Growth,Projected,Percentage,0.762,Share of vehicle kilometres travelled that use electricity
2050,Innovation,Projected,Percentage,0.764,Share of vehicle kilometres travelled that use electricity
2050,Reference,Projected,Percentage,0.699,Share of vehicle kilometres travelled that use electricity
