TimePeriod,Scenario,Sector,Variable,Status,Unit,Value
2000,Growth,Residential,Electricity demand,Historical,TWh,11.21
2000,Growth,Transport,Electricity demand,Historical,TWh,0.073
2000,Innovation,Commercial,Electricity demand,Historical,TWh,6.904
2000,Innovation,Industrial,Electricity demand,Historical,TWh,16.508
2000,Innovation,Residential,Electricity demand,Historical,TWh,11.21
2000,Innovation,Transport,Electricity demand,Historical,TWh,0.073
2000,Reference,Commercial,Electricity demand,Historical,TWh,6.904
2000,Reference,Industrial,Electricity demand,Historical,TWh,16.508
2000,Reference,Residential,Electricity demand,Historical,TWh,11.21
2000,Reference,Transport,Electricity demand,Historical,TWh,0.073
2001,Constraint,Commercial,Electricity demand,Historical,TWh,6.856
2001,Constraint,Industrial,Electricity demand,Historical,TWh,16.768
2001,Constraint,Residential,Electricity demand,Historical,TWh,11.725
2001,Constraint,Transport,Electricity demand,Historical,TWh,0.071
2001,Environmental,Commercial,Electricity demand,Historical,TWh,6.856
2001,Environmental,Industrial,Electricity demand,Historical,TWh,16.768
2001,Environmental,Residential,Electricity demand,Historical,TWh,11.725
2001,Environmental,Transport,Electricity demand,Historical,TWh,0.071
2001,Growth,Commercial,Electricity demand,Historical,TWh,6.856
2001,Growth,Industrial,Electricity demand,Historical,TWh,16.768
2001,Growth,Residential,Electricity demand,Historical,TWh,11.725
2001,Growth,Transport,Electricity demand,Historical,TWh,0.071
2001,Innovation,Commercial,Electricity demand,Historical,TWh,6.856
2001,Innovation,Industrial,Electricity demand,Historical,TWh,16.768
2001,Innovation,Residential,Electricity demand,Historical,TWh,11.725
2001,Innovation,Transport,Electricity demand,Historical,TWh,0.071
2001,Reference,Commercial,Electricity demand,Historical,TWh,6.856
2001,Reference,Industrial,Electricity demand,Historical,TWh,16.768
2001,Reference,Residential,Electricity demand,Historical,TWh,11.725
2001,Reference,Transport,Electricity demand,Historical,TWh,0.071
2002,Constraint,Commercial,Electricity demand,Historical,TWh,7.068
2002,Constraint,Industrial,Electricity demand,Historical,TWh,17.44
2002,Constraint,Residential,Electricity demand,Historical,TWh,11.649
2002,Constraint,Transport,Electricity demand,Historical,TWh,0.071
2002,Environmental,Commercial,Electricity demand,Historical,TWh,7.068
2002,Environmental,Industrial,Electricity demand,Historical,TWh,17.44
2002,Environmental,Residential,Electricity demand,Historical,TWh,11.649
2002,Environmental,Transport,Electricity demand,Historical,TWh,0.071
2002,Growth,Commercial,Electricity demand,Historical,TWh,7.068
2002,Growth,Industrial,Electricity demand,Historical,TWh,17.44
2002,Growth,Residential,Electricity demand,Historical,TWh,11.649
2002,Growth,Transport,Electricity demand,Historical,TWh,0.071
2002,Innovation,Commercial,Electricity demand,Historical,TWh,7.068
2002,Innovation,Industrial,Electricity demand,Historical,TWh,17.44
2002,Innovation,Residential,Electricity demand,Historical,TWh,11.649
2002,Innovation,Transport,Electricity demand,Historical,TWh,0.071
2002,Reference,Commercial,Electricity demand,Historical,TWh,7.068
2002,Reference,Industrial,Electricity demand,Historical,TWh,17.44
2002,Reference,Residential,Electricity demand,Historical,TWh,11.649
2002,Reference,Transport,Electricity demand,Historical,TWh,0.071
2003,Constraint,Commercial,Electricity demand,Historical,TWh,7.217
2003,Constraint,Industrial,Electricity demand,Historical,TWh,17.027
2003,Constraint,Residential,Electricity demand,Historical,TWh,12.149
2003,Constraint,Transport,Electricity demand,Historical,TWh,0.07
2003,Environmental,Commercial,Electricity demand,Historical,TWh,7.217
2003,Environmental,Industrial,Electricity demand,Historical,TWh,17.027
2003,Environmental,Residential,Electricity demand,Historical,TWh,12.149
2003,Environmental,Transport,Electricity demand,Historical,TWh,0.07
2003,Growth,Commercial,Electricity demand,Historical,TWh,7.217
2003,Growth,Industrial,Electricity demand,Historical,TWh,17.027
2003,Growth,Residential,Electricity demand,Historical,TWh,12.149
2003,Growth,Transport,Electricity demand,Historical,TWh,0.07
2003,Innovation,Commercial,Electricity demand,Historical,TWh,7.217
2003,Innovation,Industrial,Electricity demand,Historical,TWh,17.027
2003,Innovation,Residential,Electricity demand,Historical,TWh,12.149
2003,Innovation,Transport,Electricity demand,Historical,TWh,0.07
2003,Reference,Commercial,Electricity demand,Historical,TWh,7.217
2003,Reference,Industrial,Electricity demand,Historical,TWh,17.027
2003,Reference,Residential,Electricity demand,Historical,TWh,12.149
2003,Reference,Transport,Electricity demand,Historical,TWh,0.07
2004,Constraint,Commercial,Electricity demand,Historical,TWh,7.789
2004,Constraint,Industrial,Electricity demand,Historical,TWh,17.675
2004,Constraint,Residential,Electricity demand,Historical,TWh,12.26
2004,Constraint,Transport,Electricity demand,Historical,TWh,0.071
2004,Environmental,Commercial,Electricity demand,Historical,TWh,7.789
2004,Environmental,Industrial,Electricity demand,Historical,TWh,17.675
2004,Environmental,Residential,Electricity demand,Historical,TWh,12.26
2004,Environmental,Transport,Electricity demand,Historical,TWh,0.071
2004,Growth,Commercial,Electricity demand,Historical,TWh,7.789
2004,Growth,Industrial,Electricity demand,Historical,TWh,17.675
2004,Growth,Residential,Electricity demand,Historical,TWh,12.26
2004,Growth,Transport,Electricity demand,Historical,TWh,0.071
2004,Innovation,Commercial,Electricity demand,Historical,TWh,7.789
2004,Innovation,Industrial,Electricity demand,Historical,TWh,17.675
2004,Innovation,Residential,Electricity demand,Historical,TWh,12.26
2004,Innovation,Transport,Electricity demand,Historical,TWh,0.071
2004,Reference,Commercial,Electricity demand,Historical,TWh,7.789
2004,Reference,Industrial,Electricity demand,Historical,TWh,17.675
2004,Reference,Residential,Electricity demand,Historical,TWh,12.26
2004,Reference,Transport,Electricity demand,Historical,TWh,0.071
2005,Constraint,Commercial,Electricity demand,Historical,TWh,8.234
2005,Constraint,Industrial,Electricity demand,Historical,TWh,17.967
2005,Constraint,Residential,Electricity demand,Historical,TWh,12.097
2005,Constraint,Transport,Electricity demand,Historical,TWh,0.07
2005,Environmental,Commercial,Electricity demand,Historical,TWh,8.234
2005,Environmental,Industrial,Electricity demand,Historical,TWh,17.967
2005,Environmental,Residential,Electricity demand,Historical,TWh,12.097
2005,Environmental,Transport,Electricity demand,Historical,TWh,0.07
2005,Growth,Commercial,Electricity demand,Historical,TWh,8.234
2005,Growth,Industrial,Electricity demand,Historical,TWh,17.967
2005,Growth,Residential,Electricity demand,Historical,TWh,12.097
2005,Growth,Transport,Electricity demand,Historical,TWh,0.07
2005,Innovation,Commercial,Electricity demand,Historical,TWh,8.234
2005,Innovation,Industrial,Electricity demand,Historical,TWh,17.967
2005,Innovation,Residential,Electricity demand,Historical,TWh,12.097
2005,Innovation,Transport,Electricity demand,Historical,TWh,0.07
2005,Reference,Commercial,Electricity demand,Historical,TWh,8.234
2005,Reference,Industrial,Electricity demand,Historical,TWh,17.967
2005,Reference,Residential,Electricity demand,Historical,TWh,12.097
2005,Reference,Transport,Electricity demand,Historical,TWh,0.07
2006,Constraint,Commercial,Electricity demand,Historical,TWh,8.815
2006,Constraint,Industrial,Electricity demand,Historical,TWh,17.728
2006,Constraint,Residential,Electricity demand,Historical,TWh,12.62
2006,Constraint,Transport,Electricity demand,Historical,TWh,0.066
2006,Environmental,Commercial,Electricity demand,Historical,TWh,8.815
2006,Environmental,Industrial,Electricity demand,Historical,TWh,17.728
2006,Environmental,Residential,Electricity demand,Historical,TWh,12.62
2006,Environmental,Transport,Electricity demand,Historical,TWh,0.066
2006,Growth,Commercial,Electricity demand,Historical,TWh,8.815
2006,Growth,Industrial,Electricity demand,Historical,TWh,17.728
2006,Growth,Residential,Electricity demand,Historical,TWh,12.62
2006,Growth,Transport,Electricity demand,Historical,TWh,0.066
2006,Innovation,Commercial,Electricity demand,Historical,TWh,8.815
2006,Innovation,Industrial,Electricity demand,Historical,TWh,17.728
2006,Innovation,Residential,Electricity demand,Historical,TWh,12.62
2006,Innovation,Transport,Electricity demand,Historical,TWh,0.066
2006,Reference,Commercial,Electricity demand,Historical,TWh,8.815
2006,Reference,Industrial,Electricity demand,Historical,TWh,17.728
2006,Reference,Residential,Electricity demand,Historical,TWh,12.62
2006,Reference,Transport,Electricity demand,Historical,TWh,0.066
2007,Constraint,Commercial,Electricity demand,Historical,TWh,9.133
2007,Constraint,Industrial,Electricity demand,Historical,TWh,17.896
2007,Constraint,Residential,Electricity demand,Historical,TWh,12.567
2007,Constraint,Transport,Electricity demand,Historical,TWh,0.067
2007,Environmental,Commercial,Electricity demand,Historical,TWh,9.133
2007,Environmental,Industrial,Electricity demand,Historical,TWh,17.896
2007,Environmental,Residential,Electricity demand,Historical,TWh,12.567
2007,Environmental,Transport,Electricity demand,Historical,TWh,0.067
2007,Growth,Commercial,Electricity demand,Historical,TWh,9.133
2007,Growth,Industrial,Electricity demand,Historical,TWh,17.896
2007,Growth,Residential,Electricity demand,Historical,TWh,12.567
2007,Growth,Transport,Electricity demand,Historical,TWh,0.067
2007,Innovation,Commercial,Electricity demand,Historical,TWh,9.133
2007,Innovation,Industrial,Electricity demand,Historical,TWh,17.896
2007,Innovation,Residential,Electricity demand,Historical,TWh,12.567
2007,Innovation,Transport,Electricity demand,Historical,TWh,0.067
2007,Reference,Commercial,Electricity demand,Historical,TWh,9.133
2007,Reference,Industrial,Electricity demand,Historical,TWh,17.896
2007,Reference,Residential,Electricity demand,Historical,TWh,12.567
2007,Reference,Transport,Electricity demand,Historical,TWh,0.067
2008,Constraint,Commercial,Electricity demand,Historical,TWh,9.025
2008,Constraint,Industrial,Electricity demand,Historical,TWh,17.649
2008,Constraint,Residential,Electricity demand,Historical,TWh,12.449
2008,Constraint,Transport,Electricity demand,Historical,TWh,0.066
2008,Environmental,Commercial,Electricity demand,Historical,TWh,9.025
2008,Environmental,Industrial,Electricity demand,Historical,TWh,17.649
2008,Environmental,Residential,Electricity demand,Historical,TWh,12.449
2008,Environmental,Transport,Electricity demand,Historical,TWh,0.066
2008,Growth,Commercial,Electricity demand,Historical,TWh,9.025
2008,Growth,Industrial,Electricity demand,Historical,TWh,17.649
2008,Growth,Residential,Electricity demand,Historical,TWh,12.449
2008,Growth,Transport,Electricity demand,Historical,TWh,0.066
2008,Innovation,Commercial,Electricity demand,Historical,TWh,9.025
2008,Innovation,Industrial,Electricity demand,Historical,TWh,17.649
2008,Innovation,Residential,Electricity demand,Historical,TWh,12.449
2008,Innovation,Transport,Electricity demand,Historical,TWh,0.066
2008,Reference,Commercial,Electricity demand,Historical,TWh,9.025
2008,Reference,Industrial,Electricity demand,Historical,TWh,17.649
2008,Reference,Residential,Electricity demand,Historical,TWh,12.449
2008,Reference,Transport,Electricity demand,Historical,TWh,0.066
2009,Constraint,Commercial,Electricity demand,Historical,TWh,8.933
2009,Constraint,Industrial,Electricity demand,Historical,TWh,17.376
2009,Constraint,Residential,Electricity demand,Historical,TWh,12.954
2009,Constraint,Transport,Electricity demand,Historical,TWh,0.059
2009,Environmental,Commercial,Electricity demand,Historical,TWh,8.933
2009,Environmental,Industrial,Electricity demand,Historical,TWh,17.376
