TimePeriod,Variable,Scenario,Sector,Unit,Value
2025,Cumulative new capacity,Growth,Commercial,MW,18.39
2025,Cumulative new capacity,Growth,Industrial,MW,16.925
2025,Cumulative new capacity,Growth,Residential,MW,102.6198
2025,Cumulative new capacity,Innovation,Commercial,MW,18.456
2025,Cumulative new capacity,Innovation,Industrial,MW,17
2025,Cumulative new capacity,Innovation,Residential,MW,103.6243
2025,Cumulative new capacity,Reference,Commercial,MW,18.302
2025,Cumulative new capacity,Reference,Industrial,MW,16.85
2025,Cumulative new capacity,Reference,Residential,MW,102.1199
2025,Total ICPs,Constraint,Commercial,Number,2887
2025,Total ICPs,Constraint,Industrial,Number,2386
2025,Total ICPs,Constraint,Residential,Number,73832
2025,Total ICPs,Environmental,Commercial,Number,2900
2025,Total ICPs,Environmental,Industrial,Number,2396
2025,Total ICPs,Environmental,Residential,Number,74359
2025,Total ICPs,Growth,Commercial,Number,2897
2025,Total ICPs,Growth,Industrial,Number,2393
2025,Total ICPs,Growth,Residential,Number,74148
2025,Total ICPs,Innovation,Commercial,Number,2900
2025,Total ICPs,Innovation,Industrial,Number,2396
2025,Total ICPs,Innovation,Residential,Number,74359
2025,Total ICPs,Reference,Commercial,Number,2893
2025,Total ICPs,Reference,Industrial,Number,2390
2025,Total ICPs,Reference,Residential,Number,74043
2025,Total capacity,Constraint,Commercial,MW,63.353
2025,Total capacity,Constraint,Industrial,MW,68.799
2025,Total capacity,Constraint,Residential,MW,350.3112
2025,Total capacity,Environmental,Commercial,MW,63.639
2025,Total capacity,Environmental,Industrial,MW,69.04899999999999
2025,Total capacity,Environmental,Residential,MW,352.8193
2025,Total capacity,Growth,Commercial,MW,63.573
2025,Total capacity,Growth,Industrial,MW,68.974
2025,Total capacity,Growth,Residential,MW,351.8148
2025,Total capacity,Innovation,Commercial,MW,63.639
2025,Total capacity,Innovation,Industrial,MW,69.04899999999999
2025,Total capacity,Innovation,Residential,MW,352.8193
2025,Total capacity,Reference,Commercial,MW,63.485
2025,Total capacity,Reference,Industrial,MW,68.899
2025,Total capacity,Reference,Residential,MW,351.3149
2026,Annual generation from new connections,Constraint,Commercial,MWh,34139.1654
2026,Annual generation from new connections,Constraint,Industrial,MWh,31431.099
2026,Annual generation from new connections,Constraint,Residential,MWh,190927.44558
2026,Annual generation from new connections,Environmental,Commercial,MWh,35527.494
2026,Annual generation from new connections,Environmental,Industrial,MWh,32523.471
2026,Annual generation from new connections,Environmental,Residential,MWh,202044.363
2026,Annual generation from new connections,Growth,Commercial,MWh,35136.2724
2026,Annual generation from new connections,Growth,Industrial,MWh,32174.166
2026,Annual generation from new connections,Growth,Residential,MWh,197582.65848
2026,Annual generation from new connections,Innovation,Commercial,MWh,35527.494
2026,Annual generation from new connections,Innovation,Industrial,MWh,32523.471
2026,Annual generation from new connections,Innovation,Residential,MWh,202044.363
2026,Annual generation from new connections,Reference,Commercial,MWh,34745.0508
2026,Annual generation from new connections,Reference,Industrial,MWh,31780.404
2026,Annual generation from new connections,Reference,Residential,MWh,195358.28424
2026,Cumulative new ICPs,Constraint,Commercial,Number,1229
2026,Cumulative new ICPs,Constraint,Industrial,Number,1012
2026,Cumulative new ICPs,Constraint,Residential,Number,31583
2026,Cumulative new ICPs,Environmental,Commercial,Number,1279
2026,Cumulative new ICPs,Environmental,Industrial,Number,1047
2026,Cumulative new ICPs,Environmental,Residential,Number,33422
2026,Cumulative new ICPs,Growth,Commercial,Number,1265
2026,Cumulative new ICPs,Growth,Industrial,Number,1036
2026,Cumulative new ICPs,Growth,Residential,Number,32684
2026,Cumulative new ICPs,Innovation,Commercial,Number,1279
2026,Cumulative new ICPs,Innovation,Industrial,Number,1047
2026,Cumulative new ICPs,Innovation,Residential,Number,33422
2026,Cumulative new ICPs,Reference,Commercial,Number,1251
2026,Cumulative new ICPs,Reference,Industrial,Number,1023
2026,Cumulative new ICPs,Reference,Residential,Number,32316
2026,Cumulative new capacity,Constraint,Commercial,MW,26.877
2026,Cumulative new capacity,Constraint,Industrial,MW,24.745
2026,Cumulative new capacity,Constraint,Residential,MW,150.3129
2026,Cumulative new capacity,Environmental,Commercial,MW,27.97
2026,Cumulative new capacity,Environmental,Industrial,MW,25.605
2026,Cumulative new capacity,Environmental,Residential,MW,159.065
2026,Cumulative new capacity,Growth,Commercial,MW,27.662
2026,Cumulative new capacity,Growth,Industrial,MW,25.33
2026,Cumulative new capacity,Growth,Residential,MW,155.5524
2026,Cumulative new capacity,Innovation,Commercial,MW,27.97
2026,Cumulative new capacity,Innovation,Industrial,MW,25.605
2026,Cumulative new capacity,Innovation,Residential,MW,159.065
2026,Cumulative new capacity,Reference,Commercial,MW,27.354
2026,Cumulative new capacity,Reference,Industrial,MW,25.02
2026,Cumulative new capacity,Reference,Residential,MW,153.8012
