TimePeriod,Scenario,Status,Unit,Value
2023,Environmental,Historical,TWh,39.62
2023,Growth,Historical,TWh,39.62
2023,Innovation,Historical,TWh,39.62
2023,Reference,Historical,TWh,39.62
2024,Constraint,Projected,TWh,40.477
2024,Environmental,Projected,TWh,41.08
2024,Growth,Projected,TWh,40.595
2024,Innovation,Projected,TWh,41.197
2024,Reference,Projected,TWh,40.575
2025,Constraint,Projected,TWh,41.463
2025,Environmental,Projected,TWh,42.502
2025,Growth,Projected,TWh,41.686
2025,Innovation,Projected,TWh,42.613
2025,Reference,Projected,TWh,41.655
2026,Constraint,Projected,TWh,42.105
2026,Environmental,Projected,TWh,43.712
2026,Growth,Projected,TWh,43.616
2026,Innovation,Projected,TWh,45.006
2026,Reference,Projected,TWh,42.398
2027,Constraint,Projected,TWh,42.572
2027,Environmental,Projected,TWh,45.556
2027,Growth,Projected,TWh,44.859
2027,Innovation,Projected,TWh,46.817
2027,Reference,Projected,TWh,43.616
2028,Constraint,Projected,TWh,43.017
2028,Environmental,Projected,TWh,47.002
2028,Growth,Projected,TWh,45.701
2028,Innovation,Projected,TWh,48.23
2028,Reference,Projected,TWh,44.341
2029,Constraint,Projected,TWh,43.526
2029,Environmental,Projected,TWh,48.892
2029,Growth,Projected,TWh,47.081
2029,Innovation,Projected,TWh,50.05
2029,Reference,Projected,TWh,45.459
2030,Constraint,Projected,TWh,44.101
2030,Environmental,Projected,TWh,50.388
2030,Growth,Projected,TWh,48.176
2030,Innovation,Projected,TWh,52.386
2030,Reference,Projected,TWh,46.181
2031,Constraint,Projected,TWh,44.76
2031,Environmental,Projected,TWh,52.029
2031,Growth,Projected,TWh,49.424
2031,Innovation,Projected,TWh,53.957
2031,Reference,Projected,TWh,47.009
2032,Constraint,Projected,TWh,45.315
2032,Environmental,Projected,TWh,53.591
2032,Growth,Projected,TWh,50.689
2032,Innovation,Projected,TWh,55.498
2032,Reference,Projected,TWh,47.828
2033,Constraint,Projected,TWh,45.842
2033,Environmental,Projected,TWh,55.117
2033,Growth,Projected,TWh,51.961
2033,Innovation,Projected,TWh,57.026
2033,Reference,Projected,TWh,48.638
2034,Constraint,Projected,TWh,46.418
2034,Environmental,Projected,TWh,56.606
2034,Growth,Projected,TWh,53.351
2034,Innovation,Projected,TWh,58.545
2034,Reference,Projected,TWh,49.518
2035,Constraint,Projected,TWh,47.026
2035,Environmental,Projected,TWh,57.985
2035,Growth,Projected,TWh,54.767
2035,Innovation,Projected,TWh,60.75
2035,Reference,Projected,TWh,50.503
2036,Constraint,Projected,TWh,47.684
2036,Environmental,Projected,TWh,59.239
2036,Growth,Projected,TWh,56.203
2036,Innovation,Projected,TWh,62.063
2036,Reference,Projected,TWh,51.557
2037,Constraint,Projected,TWh,48.36
2037,Environmental,Projected,TWh,60.387
2037,Growth,Projected,TWh,57.705
2037,Innovation,Projected,TWh,63.268
2037,Reference,Projected,TWh,52.638
2038,Constraint,Projected,TWh,49.053
2038,Environmental,Projected,TWh,61.448
2038,Growth,Projected,TWh,59.247
2038,Innovation,Projected,TWh,64.389
2038,Reference,Projected,TWh,53.746
2039,Constraint,Projected,TWh,49.741
2039,Environmental,Projected,TWh,62.454
2039,Growth,Projected,TWh,60.773
2039,Innovation,Projected,TWh,65.454
2039,Reference,Projected,TWh,54.848
2040,Constraint,Projected,TWh,50.466
2040,Environmental,Projected,TWh,63.381
2040,Growth,Projected,TWh,62.233
2040,Innovation,Projected,TWh,66.434
2040,Reference,Projected,TWh,55.92
2041,Constraint,Projected,TWh,51.106
2041,Environmental,Projected,TWh,64.221
2041,Growth,Projected,TWh,63.61
2041,Innovation,Projected,TWh,67.327
2041,Reference,Projected,TWh,56.917
2042,Constraint,Projected,TWh,51.641
2042,Environmental,Projected,TWh,64.938
2042,Growth,Projected,TWh,64.809
2042,Innovation,Projected,TWh,68.095
2042,Reference,Projected,TWh,57.769
2043,Constraint,Projected,TWh,52.091
2043,Environmental,Projected,TWh,65.576
2043,Growth,Projected,TWh,65.879
2043,Innovation,Projected,TWh,68.782
2043,Reference,Projected,TWh,58.523
