TimePeriod,Status,Value,Variable,Unit,Scenario
1991,Historical,111106,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1992,Historical,111888,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1993,Historical,117734,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1994,Historical,124307,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1995,Historical,130389,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1996,Historical,135702,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1997,Historical,139022,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1998,Historical,139593,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1999,Historical,145851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2000,Historical,152000,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2001,Historical,155832,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2002,Historical,163162,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2003,Historical,170385,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2004,Historical,178637,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2005,Historical,184384,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2006,Historical,189571,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2007,Historical,196216,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2008,Historical,195515,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2009,Historical,193335,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2010,Historical,196650,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2011,Historical,200169,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2012,Historical,205203,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2013,Historical,209961,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2014,Historical,217869,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2015,Historical,225790,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2016,Historical,234698,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2017,Historical,242552,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2018,Historical,251033,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2019,Historical,258763,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2020,Historical,255219,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2021,Historical,269408,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2022,Historical,275851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2023,Historical,277547,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2024,Projected,285968,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2025,Projected,293431,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2026,Projected,302170.5,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2027,Projected,309164.186,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2028,Projected,314629.478,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2029,Projected,319989.416,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2030,Projected,324709.398,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2031,Projected,328702.631,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2032,Projected,332290.568,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2033,Projected,335616.936,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2034,Projected,338756.622,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2035,Projected,341742.425,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2036,Projected,344471.408,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2037,Projected,347048.293,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2038,Projected,349636.693,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2039,Projected,352167.781,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2040,Projected,354714.269,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2041,Projected,357158.385,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2042,Projected,359304.169,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2043,Projected,361175.121,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2044,Projected,362814.367,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2045,Projected,364304.095,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2046,Projected,365791.434,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2047,Projected,367212.199,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2048,Projected,368499.843,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2049,Projected,369801.114,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
2050,Projected,370914.273,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
1990,Historical,112594,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1991,Historical,111106,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1992,Historical,111888,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1993,Historical,117734,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1994,Historical,124307,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1995,Historical,130389,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1996,Historical,135702,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1997,Historical,139022,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1998,Historical,139593,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
1999,Historical,145851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
2000,Historical,152000,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Innovation
