TimePeriod,Scenario,Sector,Unit,Value,Variable,Status
2005,Growth,Transport,Gross PJ,188.728,Total energy demand,Historical
2005,Innovation,Commercial,Gross PJ,48.461,Total energy demand,Historical
2005,Innovation,Industrial,Gross PJ,198.626,Total energy demand,Historical
2005,Innovation,Residential,Gross PJ,76.919,Total energy demand,Historical
2005,Innovation,Transport,Gross PJ,188.728,Total energy demand,Historical
2005,Reference,Commercial,Gross PJ,48.461,Total energy demand,Historical
2005,Reference,Industrial,Gross PJ,198.626,Total energy demand,Historical
2005,Reference,Residential,Gross PJ,76.919,Total energy demand,Historical
2005,Reference,Transport,Gross PJ,188.728,Total energy demand,Historical
2006,Constraint,Commercial,Gross PJ,48.986,Total energy demand,Historical
2006,Constraint,Industrial,Gross PJ,197.728,Total energy demand,Historical
2006,Constraint,Residential,Gross PJ,79.581,Total energy demand,Historical
2006,Constraint,Transport,Gross PJ,190.697,Total energy demand,Historical
2006,Environmental,Commercial,Gross PJ,48.986,Total energy demand,Historical
2006,Environmental,Industrial,Gross PJ,197.728,Total energy demand,Historical
2006,Environmental,Residential,Gross PJ,79.581,Total energy demand,Historical
2006,Environmental,Transport,Gross PJ,190.697,Total energy demand,Historical
2006,Growth,Commercial,Gross PJ,48.986,Total energy demand,Historical
2006,Growth,Industrial,Gross PJ,197.728,Total energy demand,Historical
2006,Growth,Residential,Gross PJ,79.581,Total energy demand,Historical
2006,Growth,Transport,Gross PJ,190.697,Total energy demand,Historical
2006,Innovation,Commercial,Gross PJ,48.986,Total energy demand,Historical
2006,Innovation,Industrial,Gross PJ,197.728,Total energy demand,Historical
2006,Innovation,Residential,Gross PJ,79.581,Total energy demand,Historical
2006,Innovation,Transport,Gross PJ,190.697,Total energy demand,Historical
2006,Reference,Commercial,Gross PJ,48.986,Total energy demand,Historical
2006,Reference,Industrial,Gross PJ,197.728,Total energy demand,Historical
2006,Reference,Residential,Gross PJ,79.581,Total energy demand,Historical
2006,Reference,Transport,Gross PJ,190.697,Total energy demand,Historical
2007,Constraint,Commercial,Gross PJ,49.215,Total energy demand,Historical
2007,Constraint,Industrial,Gross PJ,203.894,Total energy demand,Historical
2007,Constraint,Residential,Gross PJ,78.167,Total energy demand,Historical
2007,Constraint,Transport,Gross PJ,192.19,Total energy demand,Historical
2007,Environmental,Commercial,Gross PJ,49.215,Total energy demand,Historical
2007,Environmental,Industrial,Gross PJ,203.894,Total energy demand,Historical
2007,Environmental,Residential,Gross PJ,78.167,Total energy demand,Historical
2007,Environmental,Transport,Gross PJ,192.19,Total energy demand,Historical
2007,Growth,Commercial,Gross PJ,49.215,Total energy demand,Historical
2007,Growth,Industrial,Gross PJ,203.894,Total energy demand,Historical
2007,Growth,Residential,Gross PJ,78.167,Total energy demand,Historical
2007,Growth,Transport,Gross PJ,192.19,Total energy demand,Historical
2007,Innovation,Commercial,Gross PJ,49.215,Total energy demand,Historical
2007,Innovation,Industrial,Gross PJ,203.894,Total energy demand,Historical
2007,Innovation,Residential,Gross PJ,78.167,Total energy demand,Historical
2007,Innovation,Transport,Gross PJ,192.19,Total energy demand,Historical
2007,Reference,Commercial,Gross PJ,49.215,Total energy demand,Historical
2007,Reference,Industrial,Gross PJ,203.894,Total energy demand,Historical
2007,Reference,Residential,Gross PJ,78.167,Total energy demand,Historical
2007,Reference,Transport,Gross PJ,192.19,Total energy demand,Historical
2008,Constraint,Commercial,Gross PJ,48.586,Total energy demand,Historical
2008,Constraint,Industrial,Gross PJ,198.054,Total energy demand,Historical
2008,Constraint,Residential,Gross PJ,76.819,Total energy demand,Historical
2008,Constraint,Transport,Gross PJ,192.043,Total energy demand,Historical
2008,Environmental,Commercial,Gross PJ,48.586,Total energy demand,Historical
2008,Environmental,Industrial,Gross PJ,198.054,Total energy demand,Historical
2008,Environmental,Residential,Gross PJ,76.819,Total energy demand,Historical
2008,Environmental,Transport,Gross PJ,192.043,Total energy demand,Historical
2008,Growth,Commercial,Gross PJ,48.586,Total energy demand,Historical
2008,Growth,Industrial,Gross PJ,198.054,Total energy demand,Historical
2008,Growth,Residential,Gross PJ,76.819,Total energy demand,Historical
2008,Growth,Transport,Gross PJ,192.043,Total energy demand,Historical
2008,Innovation,Commercial,Gross PJ,48.586,Total energy demand,Historical
2008,Innovation,Industrial,Gross PJ,198.054,Total energy demand,Historical
2008,Innovation,Residential,Gross PJ,76.819,Total energy demand,Historical
2008,Innovation,Transport,Gross PJ,192.043,Total energy demand,Historical
2008,Reference,Commercial,Gross PJ,48.586,Total energy demand,Historical
2008,Reference,Industrial,Gross PJ,198.054,Total energy demand,Historical
2008,Reference,Residential,Gross PJ,76.819,Total energy demand,Historical
